Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
2,3,3,0,3,76427.4,8940.584402,0.538,0.751,0.146,2.06,0.34,0.376,0.892,0.472,0.569,0.082206661,0.001335412,0.001989887,0.010262801,0.290259358,99150.4,7946.977566,0.407,0.676,0.297,1.53,0.55,0.378,0.982,0.814,0.643,0.033887404,0.175674727,0,0.023157887,0.040141326,6,0,0,1,0,7,0.0769,0,0,13.89
2,5,4,0,2,30277.08,6521.573458,0.457,0.672,0.108,2.47,0.153,0.13,0.849,0.128,0.419,0.056915911,0.011101303,0.002286104,0,0.1278851,141794,2549.340139,0.466,0.893,0.036,1.91,0.242,0.195,0.944,0.714,0.634,0.066070659,0.156557188,0.046181541,0.001852403,0.033804549,5,0,0,923,44,97,0.1943,0,0,82.41
2,3,2,0,2,126179.92,11082.88832,0.479,0.913,0.063,1.49,0.348,0.292,0.995,0.911,0.693,0.121137046,0.01464546,0,0.0160552,0.041672493,156550,10976.02334,0.493,0.68,0.075,2.53,0.537,0.502,0.94,0.73,0.442,0.038486927,0,0.002555063,0,0.148312491,5,0,0,13,0,9,0.125,0,0,13.89
3,3,5,0,3,47740,10267.98442,0.443,0.594,0.152,3.14,0.253,0.16,0.888,0.103,0.5,0.0292393,0.024101312,0.001231033,0,0.278683687,92330.4,5201.462108,0.463,0.745,0.08,2.77,0.355,0.269,0.927,0.442,0.424,0.011795792,0.007915514,0.030315391,0,0.082857589,7,0,0,273,6,30,0.0526,0.235,0.127,54.63
3,1,4,0,1,126785.04,2884.306043,0.497,0.81,0.071,2.33,0.452,0.444,0.904,0.615,0.421,0.142788404,0.005016782,0.059282977,0.024697501,0.109909531,112784.2,10978.21526,0.542,0.782,0.113,2.27,0.347,0.344,0.887,0.617,0.563,0.049201974,0.055970036,0,0,0.368894697,-1,0.61,12.7,266,20,82,0.0853,0.014,0,61.11
3,4,3,0,1,59760.56,4139.902431,0.419,0.786,0.15,1.59,0.256,0.195,0.952,0.702,0.677,0.005031696,0.007360552,0,0,0.038507834,99150.4,7946.977566,0.407,0.676,0.297,1.53,0.55,0.378,0.982,0.814,0.643,0.033887404,0.175674727,0,0.023157887,0.040141326,1,0,0,715,2,48,0.054,0.315,0.166,51.85
3,4,0,0,1,78773.48,5188.274714,0.498,0.875,0.054,2.43,0.285,0.283,0.991,0.892,0.787,0.006561592,0.032756911,0,0.004799347,0.102312198,149832.92,10586.22539,0.545,0.827,0.074,2.16,0.23,0.277,0.946,0.778,0.63,0.062785223,0.009959307,0,0,0.19673925,9,0.23,0,658,6,55,0.0421,0.412,0.276,51.85
3,7,5,0,1,48567.08,6838.300727,0.403,0.623,0.1,2.78,0.17,0.112,0.88,0.221,0.473,0.026739061,0.016566412,0,0,0.115033145,55514.8,2199.948554,0.52,0.808,0.171,1.48,0.121,0.163,0.972,0.582,0.521,0.050319559,0.013219893,0,0.005066017,0.158733281,29,2.74,0,169,0,10,0.0458,0.581,0.52,32.41
3,2,5,0,1,85888.6,9927.469435,0.534,0.841,0.079,2,0.278,0.32,0.93,0.706,0.626,0.02819778,0.013861909,0.01731024,0.003760928,0.190625392,45777.08,27884.41823,0.488,0.679,0.18,2.03,0.381,0.405,0.81,0.435,0.67,0.025571473,0.087480163,0,0,0.217333805,6,0,0,179,7,20,0.0372,0.14,0.068,54.63
3,2,2,0,1,67256.36,8356.774416,0.473,0.706,0.121,3.09,0.518,0.414,0.674,0.192,0.304,0.039889101,0.007089859,0,0,0.221846878,78876.4,8070.844313,0.488,0.826,0.105,1.55,0.344,0.283,0.967,0.765,0.66,0.027076335,0.01411433,0.002750757,0.00075002,0.124703754,4,0,0,337,4,29,0.0276,0.129,0.058,54.63
3,7,4,0,1,59760.56,4139.902431,0.419,0.786,0.15,1.59,0.256,0.195,0.952,0.702,0.677,0.005031696,0.007360552,0,0,0.038507834,141714.64,6014.727781,0.461,0.724,0.134,2.13,0.407,0.363,0.987,0.808,0.734,0.029389332,0.075057477,0,0,0.128956326,19,0,0,82,1,6,0.013,0.569,0.509,34.26
2,3,5,0,4,92298.16,8559.035656,0.519,0.775,0.124,2.16,0.378,0.368,0.934,0.628,0.509,0.044441496,0.020657674,0,0.001073937,0.287805536,137316.36,12741.97824,0.601,0.934,0.017,1.98,0.25,0.251,0.994,0.898,0.673,0.027545233,0.026901975,0,0,0.117267983,3,0,0,3,0,3,0.2727,0,0,13.89
