Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
3,7,3,0,3,141794,2549.340139,0.466,0.893,0.036,1.91,0.242,0.195,0.944,0.714,0.634,0.066070659,0.156557188,0.046181541,0.001852403,0.033804549,168652.4,3983.534441,0.471,0.574,0.355,1.72,0.589,0.464,0.992,0.793,0.513,0.009559366,0.000449899,0,0.005189693,0.05653157,27,0.25,0,119,0,10,0.035,0.585,0.522,32.41
2,10,6,1,1,94479.32,16219.03554,0.565,0.861,0.039,1.95,0.231,0.202,0.977,0.749,0.671,0.036286843,0.014612153,0.004492835,0,0.141407884,156093.68,7293.349164,0.547,0.786,0.056,2.07,0.392,0.528,0.977,0.878,0.534,0.02511014,0,0.001455007,0,0.124928459,17,0,0,301,4,34,0.0647,0,0,51.39
3,4,2,0,1,48646.44,3819.426271,0.484,0.719,0.101,2.62,0.15,0.158,0.781,0.155,0.368,0.01268581,0.025788881,0.034483886,0.016597732,0.096393154,45454.68,6755.061474,0.549,0.601,0.148,3.39,0.457,0.565,0.713,0.081,0.413,0.011686742,0.01388436,0,0,0.199565392,7,0,0,769,7,53,0.0523,0.392,0.245,51.85
2,3,2,0,1,70735.8,9684.465599,0.483,0.575,0.126,3.4,0.559,0.39,0.844,0.45,0.372,0.046952025,0.002542906,0,0,0.297656298,64794.96,12640.80397,0.508,0.712,0.076,3.15,0.367,0.368,0.792,0.364,0.435,0.051674715,0.083050259,0,0,0.163402807,5,0,0,13,0,9,0.125,0,0,13.89
3,4,4,0,20,176762,1708.65603,0.602,0.877,0.044,2.05,0.292,0.425,0.983,0.741,0.517,0.063452679,0.009132152,0.110705935,0.002609637,0.051509695,135367.08,14904.09535,0.464,0.788,0.154,1.64,0.532,0.428,1,0.882,0.673,0.047927031,0.001666649,0,0.034408368,0.03946857,10,0,0,543,7,50,0.0452,0.459,0.342,50
2,12,3,0,1,38948.4,1030.291423,0.451,0.654,0.072,2.53,0.189,0.148,0.864,0.175,0.351,0.064345905,0.03869631,0.13817633,0.018787433,0.06863903,47630.88,11603.29483,0.484,0.739,0.156,1.65,0.288,0.295,0.969,0.714,0.677,0.135028467,0.008158249,0,0,0.198033006,-7,0,5.1,622,21,53,0.0703,0.009,0,61.11
3,1,1,0,4,143396.08,4645.213938,0.535,0.852,0.086,1.55,0.391,0.376,0.996,0.86,0.645,0.034813124,0.002477352,0,0.028162932,0.057234645,95222.08,5521.705052,0.529,0.761,0.173,1.68,0.317,0.337,0.991,0.709,0.688,0,0.003743148,0,0,0.123539104,1,0,0,1599,16,93,0.0974,0.018,0,57.41
3,4,4,0,1,85250,4274.181366,0.471,0.641,0.156,2.56,0.512,0.453,0.876,0.4,0.267,0.029657383,0.006509614,0.007408786,0.015479628,0.269250767,72941.76,7639.719387,0.502,0.707,0.109,3.12,0.384,0.399,0.805,0.388,0.36,0.032246769,0.009837354,0,0,0.346384883,12,0,0,526,6,50,0.0459,0.434,0.303,50
3,3,1,0,1,117972.36,4911.908695,0.511,0.766,0.083,2.03,0.307,0.318,0.916,0.621,0.667,0.00529833,0.055940017,0,0,0.049008002,118912.28,10655.15476,0.543,0.871,0.03,1.91,0.307,0.298,0.969,0.864,0.649,0.046754961,0.035590628,0.000439465,0.000898147,0.09873755,14,0,0,330,5,27,0.0247,0.172,0.093,54.63
3,2,3,0,3,125240,6361.382716,0.56,0.941,0.036,1.61,0.285,0.285,0.943,0.757,0.758,0.295334021,0.05660954,0,0.020947931,0.022814064,50967.72,7758.985478,0.496,0.665,0.128,3.04,0.464,0.403,0.714,0.157,0.385,0.158310635,0,0.042814021,0,0.199251334,0,0,0,281,8,19,0.0261,0.132,0.062,54.63
3,1,2,0,11,125240,6361.382716,0.56,0.941,0.036,1.61,0.285,0.285,0.943,0.757,0.758,0.295334021,0.05660954,0,0.020947931,0.022814064,123392.4,3822.397204,0.474,0.807,0.102,1.61,0.349,0.306,0.994,0.886,0.63,0.020557297,0.015782345,0,0.212482125,0.135620619,-4,0,0,788,12,64,0.0668,0.035,0.012,57.41
2,8,3,0,1,40954.72,1550.890396,0.417,0.653,0.219,1.76,0.243,0.147,0.861,0.352,0.55,0.006308751,0.032829983,0,0.000389648,0.042952732,39831.28,9708.50035,0.469,0.746,0.104,1.9,0.153,0.122,0.929,0.198,0.393,0.010216113,0.009393868,0,0,0.120302759,30,0,0,383,2,27,0.0511,0,0,55.09
2,6,4,0,1,69995.52,14210.124,0.512,0.869,0.053,1.84,0.19,0.214,0.933,0.586,0.568,0.028085601,0.033347274,0,0.002447042,0.27129265,26171.44,7340.256184,0.52,0.606,0.094,2.56,0.131,0.116,0.862,0.075,0.368,0.02002643,0.050051427,0.00221724,0,0.211615921,27,0,0,339,17,42,0.0918,0,0,73.15
2,10,6,1,1,135367.08,14904.09535,0.464,0.788,0.154,1.64,0.532,0.428,1,0.882,0.673,0.047927031,0.001666649,0,0.034408368,0.03946857,72290.76,266431.3491,0.5,0.648,0.286,1.5,0.423,0.409,0.965,0.683,0.427,0,0,0,0,0.12585107,10,0.53,0,347,1,51,0.0745,0,0,54.63
2,6,0,0,1,87093.88,1962.457295,0.485,0.741,0.212,1.56,0.416,0.367,0.961,0.774,0.559,0.002521007,0.043369593,0,0.000680771,0.054404451,203714.64,7399.573403,0.52,0.727,0.031,2.49,0.52,0.539,0.984,0.884,0.429,0.087136531,0.008207458,0.012480391,0,0.183295519,28,0.71,0,280,7,31,0.044,0,0,55.56
2,5,6,1,1,71657.12,9261.016183,0.498,0.751,0.11,2.46,0.367,0.382,0.894,0.356,0.61,0.025918264,0.045926347,0.000378469,0,0.267435916,39782.92,4372.856994,0.401,0.676,0.067,2.59,0.228,0.167,0.83,0.204,0.553,0.016000473,0.008696741,0.001889888,0.000274258,0.05940757,25,0,0,279,27,91,0.1187,0,0,82.41
2,10,3,0,3,69453.64,13284.96189,0.522,0.745,0.103,3.03,0.335,0.365,0.657,0.29,0.604,0.066384223,0.03421131,0.004046885,0,0.229312113,125240,6361.382716,0.56,0.941,0.036,1.61,0.285,0.285,0.943,0.757,0.758,0.295334021,0.05660954,0,0.020947931,0.022814064,12,0,0,907,2,51,0.0729,0,0,51.39
3,3,1,0,4,118653.12,7347.397389,0.508,0.692,0.203,2.04,0.401,0.412,0.945,0.76,0.497,0.034894581,0.02464973,0,0.000459593,0.2576815,143396.08,4645.213938,0.535,0.852,0.086,1.55,0.391,0.376,0.996,0.86,0.645,0.034813124,0.002477352,0,0.028162932,0.057234645,14,0,0,330,5,27,0.0247,0.172,0.093,54.63
2,3,1,0,1,240767.08,7448.280134,0.496,0.767,0.082,2.25,0.292,0.252,0.98,0.676,0.635,0.032059063,0,0,0.005631081,0.22776161,89673.08,7315.470302,0.589,0.764,0.109,2.41,0.405,0.59,0.849,0.379,0.447,0.03692132,0.051256841,0.00268372,0,0.359513584,6,0,0,96,1,29,0.1146,0,0,48.15
3,4,2,0,1,83509.04,1849.829028,0.425,0.621,0.311,1.63,0.329,0.23,0.978,0.723,0.636,0.00418305,0.014722566,0,0,0.045060661,65955.6,1431.33841,0.441,0.633,0.195,2.62,0.276,0.227,0.899,0.351,0.311,0.005885007,0.320221177,0,0,0.124723295,22,0,0,834,3,57,0.0541,0.352,0.2,51.85
3,5,4,0,2,108564.48,20361.74053,0.514,0.816,0.112,1.58,0.324,0.309,0.993,0.824,0.635,0.007633211,0,0,0,0.064822942,95222.08,5521.705052,0.529,0.761,0.173,1.68,0.317,0.337,0.991,0.709,0.688,0,0.003743148,0,0,0.123539104,11,0,0,365,11,34,0.0371,0.474,0.373,50
3,4,5,0,1,40521.96,2448.828555,0.499,0.675,0.061,3.41,0.398,0.394,0.606,0.111,0.515,0.084711096,0.023531132,0.168635663,0.008914363,0.056134745,34472,7155.094582,0.455,0.647,0.121,2.86,0.253,0.212,0.752,0.059,0.414,0.020037405,0.016398702,0.001158148,0,0.084411841,13,0,0,462,9,47,0.0622,0.328,0.177,51.85
3,3,1,0,6,44296.52,6247.129252,0.499,0.648,0.233,2.62,0.541,0.489,0.586,0.265,0.583,0.04472137,0.008042365,0.020838458,0.00095337,0.121056066,135367.08,14904.09535,0.464,0.788,0.154,1.64,0.532,0.428,1,0.882,0.673,0.047927031,0.001666649,0,0.034408368,0.03946857,14,0,0,330,5,27,0.0247,0.172,0.093,54.63
2,8,0,0,1,63342.92,6148.203987,0.468,0.711,0.119,2.66,0.396,0.364,0.732,0.21,0.392,0.028557273,0.023318732,0.145243044,0,0.189046835,109275,3847.811901,0.442,0.676,0.212,2.64,0.584,0.423,0.878,0.486,0.304,0.001549182,0.028419859,0,0,0.141123916,25,0,0,493,3,28,0.054,0,0,58.33
3,5,0,0,1,118912.28,10655.15476,0.543,0.871,0.03,1.91,0.307,0.298,0.969,0.864,0.649,0.046754961,0.035590628,0.000439465,0.000898147,0.09873755,159994.72,5479.182807,0.477,0.864,0.034,1.9,0.378,0.329,0.991,0.793,0.587,0.05134316,0.000929131,0.029494571,0,0.072739333,8,0,0,397,6,42,0.0308,0.479,0.382,50
3,5,3,0,2,101231.12,32731.17839,0.418,0.849,0.098,1.45,0.379,0.279,1,0.886,0.724,0.018686809,0.015368824,0,0,0.178906155,176058.92,9215.186755,0.542,0.879,0.012,2.13,0.292,0.33,0.972,0.844,0.697,0.056252174,0.000855105,0,0,0.095123958,13,0,0,314,7,45,0.0312,0.486,0.399,50
3,2,6,1,1,63093.68,12920.38065,0.505,0.805,0.072,2.12,0.286,0.333,0.903,0.522,0.691,0.020678644,0.026500965,0,0.000396481,0.214210883,59365,2903.281983,0.464,0.441,0.355,2.63,0.593,0.45,0.894,0.475,0.234,0.046951977,0.184132004,0,0.002652369,0.350126128,5,0.15,0,149,3,17,0.0365,0.142,0.069,54.63
3,1,3,0,2,99150.4,7946.977566,0.407,0.676,0.297,1.53,0.55,0.378,0.982,0.814,0.643,0.033887404,0.175674727,0,0.023157887,0.040141326,20349.64,3196.429447,0.444,0.617,0.198,1.82,0.237,0.152,0.739,0.082,0.486,0.022949905,0.113312933,0.004762687,0,0.133510918,3,0,0,815,9,75,0.0606,0.039,0.013,57.41
2,5,3,0,1,135367.08,14904.09535,0.464,0.788,0.154,1.64,0.532,0.428,1,0.882,0.673,0.047927031,0.001666649,0,0.034408368,0.03946857,126785.04,2884.306043,0.497,0.81,0.071,2.33,0.452,0.444,0.904,0.615,0.421,0.142788404,0.005016782,0.059282977,0.024697501,0.109909531,17,0,0,800,34,110,0.164,0,0,82.41
2,12,3,0,1,78131.16,11125.75218,0.473,0.79,0.07,2.08,0.228,0.196,0.888,0.578,0.44,0.027718029,0.006718573,0.001759182,0.000160412,0.156970741,29676.92,6362.141396,0.519,0.7,0.098,3.08,0.165,0.108,0.708,0.089,0.635,0.012748645,0.01724598,0.000418313,0,0.191059115,7,0,0,1702,19,124,0.1178,0,0,61.11
2,12,1,0,1,176058.92,9215.186755,0.542,0.879,0.012,2.13,0.292,0.33,0.972,0.844,0.697,0.056252174,0.000855105,0,0,0.095123958,143921.84,14576.5158,0.491,0.841,0.087,2.29,0.252,0.26,0.945,0.739,0.568,0.030415585,0.01650793,0,0,0.152802811,-2,0,0,1617,19,96,0.1014,0,0,61.11
2,6,6,1,1,176762,1708.65603,0.602,0.877,0.044,2.05,0.292,0.425,0.983,0.741,0.517,0.063452679,0.009132152,0.110705935,0.002609637,0.051509695,118912.28,10655.15476,0.543,0.871,0.03,1.91,0.307,0.298,0.969,0.864,0.649,0.046754961,0.035590628,0.000439465,0.000898147,0.09873755,21,0,0,110,20,32,0.0736,0,0,73.15
3,5,0,0,1,171120,12389.04938,0.516,0.764,0.049,2.67,0.356,0.364,0.981,0.858,0.663,0.021401167,0.002924257,0,0,0.141411392,143200.16,5544.395708,0.434,0.802,0.092,1.66,0.541,0.4,0.966,0.77,0.501,0.037566808,0.012762775,0.004028705,0.211518233,0.085278859,18,0,0,45,2,18,0.0127,0.529,0.446,50
3,7,6,1,1,118912.28,10655.15476,0.543,0.871,0.03,1.91,0.307,0.298,0.969,0.864,0.649,0.046754961,0.035590628,0.000439465,0.000898147,0.09873755,99066.08,6290.365995,0.487,0.684,0.117,2.33,0.527,0.556,0.968,0.657,0.388,0.053033404,0.005623684,0.02074308,0,0.275920908,24,0,0,88,0,5,0.0294,0.575,0.515,34.26
2,3,4,0,2,148039.88,9606.23685,0.475,0.744,0.18,1.66,0.535,0.467,0.981,0.869,0.522,0.01168253,0,0,0.014379733,0.050709411,59760.56,4139.902431,0.419,0.786,0.15,1.59,0.256,0.195,0.952,0.702,0.677,0.005031696,0.007360552,0,0,0.038507834,1,0,0,3,0,3,0.1875,0,0,13.89
3,6,6,1,1,171334.52,13585.49187,0.502,0.841,0.055,1.71,0.396,0.375,0.981,0.885,0.635,0.063723889,0.034170799,0.004285442,0.004039233,0.237820947,112334.08,8855.526837,0.594,0.814,0.037,2.2,0.302,0.404,0.923,0.631,0.52,0.069667018,0.025134684,0.005503986,0,0.190594976,27,0,0,56,7,16,0.0176,0.538,0.461,50
3,5,1,0,1,117578.04,7806.843615,0.464,0.582,0.158,2.45,0.561,0.429,0.933,0.716,0.402,0.053059931,0.009744523,0.000782023,0,0.231640964,148039.88,9606.23685,0.475,0.744,0.18,1.66,0.535,0.467,0.981,0.869,0.522,0.01168253,0,0,0.014379733,0.050709411,27,0,0,128,3,23,0.0134,0.52,0.436,50
3,4,5,0,1,117352.36,10712.21337,0.486,0.83,0.04,2.12,0.44,0.383,0.98,0.743,0.448,0.035230154,0.011803755,0.004546247,0,0.21169374,130316.56,17831.13636,0.452,0.846,0.084,1.77,0.373,0.333,0.975,0.776,0.662,0.035053983,0.024272404,0.002756814,0,0.202582512,11,0.51,0,551,8,51,0.0758,0.373,0.222,51.85
2,3,5,0,3,44625.12,18842.99492,0.403,0.857,0.128,1.69,0.152,0.123,0.882,0.458,0.73,0.019605562,0.136396412,0.009756765,0,0.095409226,171120,12389.04938,0.516,0.764,0.049,2.67,0.356,0.364,0.981,0.858,0.663,0.021401167,0.002924257,0,0,0.141411392,3,0,0,31,0,11,0.0863,0,0,29.63
2,9,3,0,2,99150.4,7946.977566,0.407,0.676,0.297,1.53,0.55,0.378,0.982,0.814,0.643,0.033887404,0.175674727,0,0.023157887,0.040141326,43227.64,13261.56946,0.541,0.683,0.199,1.86,0.329,0.344,0.784,0.442,0.678,0.006193376,0.027295688,0.004656779,0.018270803,0.162463075,20,0,0,409,5,25,0.0463,0,0,55.09
2,7,3,0,1,189534,11322.25602,0.504,0.728,0.132,2.47,0.42,0.403,0.958,0.755,0.512,0.008463131,0.006924882,0.004493052,0.011997911,0.157049344,140556.48,8176.058291,0.471,0.74,0.089,2.41,0.538,0.499,0.939,0.785,0.573,0.013776083,0.001290852,0.014435633,0,0.102825553,23,0,0,319,3,33,0.0458,0,0,58.33
2,3,0,0,1,118242.68,8318.835601,0.498,0.865,0.056,2.06,0.444,0.37,0.946,0.736,0.521,0.026941412,0.071740165,0,0.001241598,0.159166791,214334,9172.609069,0.529,0.761,0.059,2.69,0.456,0.524,0.944,0.8,0.525,0.071651833,0.021121531,0,0,0.216685434,12,2.21,0,5,0,3,0.0571,0,0,13.89
2,10,5,0,1,214334,9172.609069,0.529,0.761,0.059,2.69,0.456,0.524,0.944,0.8,0.525,0.071651833,0.021121531,0,0,0.216685434,194525,10626.1921,0.506,0.808,0.037,2.44,0.409,0.408,0.986,0.877,0.605,0.026239633,0.000461875,0.000111372,0.001689363,0.160288632,20,0,0,443,5,44,0.0787,0,0,51.39
2,10,3,0,1,163556,11721.11567,0.594,0.853,0.023,2.07,0.29,0.398,0.995,0.862,0.686,0.031625911,0.010678931,0,0,0.31405111,168652.4,3983.534441,0.471,0.574,0.355,1.72,0.589,0.464,0.992,0.793,0.513,0.009559366,0.000449899,0,0.005189693,0.05653157,11,0.69,0,364,4,35,0.0437,0,0,55.09
2,9,0,0,1,108564.48,20361.74053,0.514,0.816,0.112,1.58,0.324,0.309,0.993,0.824,0.635,0.007633211,0,0,0,0.064822942,69608.64,5709.16661,0.48,0.837,0.108,2.7,0.271,0.213,0.96,0.752,0.607,0.020843553,0.292455101,0,0.032745622,0.107278107,23,0.46,0,72,1,21,0.0415,0,0,55.09
2,3,0,0,1,53497.32,3199.403172,0.476,0.618,0.193,2.78,0.265,0.193,0.898,0.191,0.261,0.010872495,0.012511472,0.000697436,0,0.246336744,45935.8,3860.706646,0.484,0.65,0.159,2.39,0.189,0.143,0.812,0.088,0.511,0.015410436,0.1005817,0.000213072,0,0.193779753,6,0,0,0,0,2,0,0,0,13.89
3,2,4,0,1,113383.12,15203.88268,0.504,0.867,0.069,1.96,0.282,0.261,0.974,0.815,0.718,0.055906967,0.004403477,0.003369589,0,0.176234029,117972.36,4911.908695,0.511,0.766,0.083,2.03,0.307,0.318,0.916,0.621,0.667,0.00529833,0.055940017,0,0,0.049008002,-9,0,0,357,13,37,0.0347,0.103,0.036,54.63
2,9,2,0,1,137316.36,12741.97824,0.601,0.934,0.017,1.98,0.25,0.251,0.994,0.898,0.673,0.027545233,0.026901975,0,0,0.117267983,156550,10976.02334,0.493,0.68,0.075,2.53,0.537,0.502,0.94,0.73,0.442,0.038486927,0,0.002555063,0,0.148312491,26,0,0,406,3,22,0.0495,0,0,55.09
2,9,4,0,2,126179.92,11082.88832,0.479,0.913,0.063,1.49,0.348,0.292,0.995,0.911,0.693,0.121137046,0.01464546,0,0.0160552,0.041672493,144577.8,6497.161792,0.474,0.78,0.081,2.02,0.425,0.381,1,0.811,0.484,0.054551979,0.009072269,0.013840378,0.002299012,0.155747141,13,0,0,358,4,30,0.0476,0,0,55.09
3,3,2,0,1,184514.48,4329.430206,0.517,0.694,0.146,2.19,0.417,0.455,0.927,0.756,0.464,0.123438816,0.049460341,0.038875451,0.00044374,0.155355676,75069.6,6491.256315,0.467,0.688,0.126,3.07,0.497,0.445,0.766,0.317,0.466,0.069814114,0.015356209,0.071829785,0,0.150570091,4,0,0,705,4,49,0.049,0.307,0.161,51.85
3,7,5,0,1,33740.4,2272.964181,0.405,0.632,0.114,2.1,0.167,0.138,0.912,0.383,0.369,0.003304361,0.011033819,0,0,0.096933927,61319.24,751.0926191,0.525,0.729,0.114,2.55,0.25,0.309,0.749,0.257,0.602,0.023520028,0.012328882,0.273833832,0,0.020455665,21,0.28,0,48,0,7,0.0076,0.57,0.51,34.26
3,5,0,0,1,184927.4,13792.66154,0.49,0.854,0.062,1.64,0.449,0.403,0.997,0.905,0.649,0.108184837,0.010487887,0.003748907,0.00885466,0.077963469,81763.12,11062.59756,0.497,0.775,0.12,2.45,0.308,0.291,0.905,0.498,0.524,0.022996528,0.006850148,0,0,0.197362528,18,0,0,349,6,49,0.0286,0.499,0.414,50
2,7,3,0,2,171334.52,13585.49187,0.502,0.841,0.055,1.71,0.396,0.375,0.981,0.885,0.635,0.063723889,0.034170799,0.004285442,0.004039233,0.237820947,177998.28,11753.75594,0.539,0.863,0.021,2.24,0.374,0.453,0.972,0.812,0.612,0.046217573,0.02645794,0,0,0.18605814,28,0.89,0,288,8,29,0.0453,0,0,58.33
2,12,6,1,1,159994.72,5479.182807,0.477,0.864,0.034,1.9,0.378,0.329,0.991,0.793,0.587,0.05134316,0.000929131,0.029494571,0,0.072739333,107159.56,21496.29248,0.436,0.799,0.161,1.46,0.382,0.267,0.986,0.857,0.637,0.043294354,0.00517611,0,0.006203543,0.235032439,2,0,0,614,24,97,0.116,0.009,0,61.11
2,3,4,0,1,126002.6,11839.49285,0.511,0.902,0.042,2.17,0.286,0.304,0.938,0.744,0.604,0.036502786,0.022329202,0.002446675,0.017031984,0.14492009,145700,7905.891824,0.592,0.881,0.029,2.2,0.244,0.349,0.993,0.891,0.711,0.04979928,0.001607606,0,0.086121692,0.141822927,1,0,0,3,0,3,0.1875,0,0,13.89
2,6,3,0,2,118912.28,10655.15476,0.543,0.871,0.03,1.91,0.307,0.298,0.969,0.864,0.649,0.046754961,0.035590628,0.000439465,0.000898147,0.09873755,81693.68,21742.10009,0.543,0.838,0.094,1.56,0.327,0.341,0.982,0.804,0.735,0.017948489,0.017813511,0,0,0.227196652,25,0,0,184,14,30,0.0452,0,0,73.15
2,3,6,1,1,14288.52,6981.466839,0.329,0.499,0.053,2.57,0.293,0.066,0.841,0.126,0.618,0.002349817,0.02227085,0,0.003737398,0.065333992,31685.72,7912.781461,0.447,0.624,0.229,1.66,0.268,0.277,0.901,0.405,0.359,0.011381184,0.030559363,0,0,0.176958493,7,0,0,0,0,2,0,0,0,5.56
2,5,5,0,1,182964.48,14274.27344,0.495,0.9,0.039,2.4,0.162,0.152,0.997,0.899,0.688,0.020699868,0.120296539,0,0,0.189895935,94479.32,16219.03554,0.565,0.861,0.039,1.95,0.231,0.202,0.977,0.749,0.671,0.036286843,0.014612153,0.004492835,0,0.141407884,20,0,0,719,49,167,0.2659,0,0,82.41
2,9,5,0,4,189534,11322.25602,0.504,0.728,0.132,2.47,0.42,0.403,0.958,0.755,0.512,0.008463131,0.006924882,0.004493052,0.011997911,0.157049344,187274.72,3412.905497,0.513,0.836,0.035,1.79,0.42,0.425,0.99,0.841,0.6,0.09582844,0.009420857,0.094308484,0.005731105,0.053664057,23,0,0,203,3,23,0.0663,0,0,55.09
2,8,3,0,1,20592.68,5687.17926,0.427,0.64,0.085,2.25,0.117,0.129,0.827,0.27,0.718,0.014643835,0.081413183,0.001059097,0,0.069954922,28436.92,7292.560146,0.383,0.617,0.209,2.04,0.228,0.149,0.892,0.255,0.697,0.013264185,0.007146337,0.00177029,0,0.154767718,23,0,0,423,3,22,0.0515,0,0,55.09
3,2,3,0,1,42758.92,7478.579231,0.455,0.646,0.092,3.15,0.229,0.176,0.746,0.113,0.508,0.015995164,0.008964002,0.000933327,0,0.223422466,91967.08,10748.59996,0.477,0.734,0.094,2.65,0.393,0.353,0.826,0.376,0.478,0.035240599,0.012894494,0,0,0.174010813,-1,0.58,73.7,537,9,59,0.0444,0.077,0.023,54.63
2,9,6,1,2,145700,7905.891824,0.592,0.881,0.029,2.2,0.244,0.349,0.993,0.891,0.711,0.04979928,0.001607606,0,0.086121692,0.141822927,152050.04,13915.55364,0.542,0.757,0.103,2.2,0.406,0.503,1,0.942,0.608,0.021855905,0.005727547,0,0,0.182881981,22,1.22,0,143,2,12,0.0479,0,0,55.09
2,12,0,0,2,97739.28,8582.327972,0.574,0.782,0.114,1.99,0.334,0.438,0.935,0.675,0.604,0.032218431,0.139316883,0.000485418,0.003497878,0.182765932,209507.92,2158.616359,0.438,0.933,0.061,1.59,0.227,0.148,0.992,0.94,0.733,0.034704219,0.012352627,0,0.025860518,0.009460257,2,0,0,2068,34,123,0.1145,0,0,61.11
3,6,3,0,1,28436.92,7292.560146,0.383,0.617,0.209,2.04,0.228,0.149,0.892,0.255,0.697,0.013264185,0.007146337,0.00177029,0,0.154767718,47630.88,11603.29483,0.484,0.739,0.156,1.65,0.288,0.295,0.969,0.714,0.677,0.135028467,0.008158249,0,0,0.198033006,22,0,0,96,7,14,0.0148,0.534,0.453,50
2,3,5,0,2,79846.08,6783.78868,0.502,0.8,0.041,2.76,0.349,0.313,0.842,0.366,0.476,0.064249115,0.009618522,0.103456192,0,0.188621858,209507.92,2158.616359,0.438,0.933,0.061,1.59,0.227,0.148,0.992,0.94,0.733,0.034704219,0.012352627,0,0.025860518,0.009460257,3,0,0,3,0,3,0.2727,0,0,13.89
3,4,1,0,1,48841.12,17126.2229,0.524,0.805,0.054,1.93,0.265,0.21,0.939,0.541,0.683,0.011237709,0,0,0,0.179886307,169122.36,11142.36228,0.491,0.869,0.076,1.56,0.377,0.341,0.997,0.922,0.695,0.068033104,0.006621534,0.00366556,0.00278221,0.050580965,23,0,0,564,5,52,0.0412,0.448,0.323,50
2,8,2,0,1,148039.88,9606.23685,0.475,0.744,0.18,1.66,0.535,0.467,0.981,0.869,0.522,0.01168253,0,0,0.014379733,0.050709411,89776,11222.92212,0.552,0.794,0.08,2.26,0.314,0.355,0.892,0.551,0.461,0.019557815,0.015754876,0,0,0.109566961,19,0,0,378,4,20,0.0471,0,0,58.33
2,3,5,0,1,105848.88,6723.233153,0.511,0.841,0.066,2.08,0.355,0.396,0.93,0.574,0.517,0.030076685,0,0.064602373,0,0.14590627,76427.4,8940.584402,0.538,0.751,0.146,2.06,0.34,0.376,0.892,0.472,0.569,0.082206661,0.001335412,0.001989887,0.010262801,0.290259358,3,0,0,3,0,3,0.2727,0,0,13.89
3,4,4,0,1,47017.08,948.3180087,0.512,0.604,0.17,3.59,0.495,0.488,0.567,0.057,0.292,0.007113852,0.058954631,0.294396415,0,0.060508963,150660,9672.70831,0.603,0.929,0.024,2.03,0.34,0.305,0.973,0.769,0.637,0.037477988,0.001164298,0,0,0.074673167,8,0,0,654,5,59,0.0559,0.402,0.26,51.85
2,12,1,0,1,52153.16,20775.90434,0.478,0.778,0.101,1.64,0.318,0.253,0.938,0.523,0.741,0.056033934,0.002422089,0.01667638,0,0.135678751,41882.24,1438.018462,0.521,0.707,0.122,2.71,0.174,0.217,0.794,0.175,0.508,0.021471152,0.035978093,0.256863002,0.015171062,0.073985396,2,0,0,2059,34,87,0.1163,0,0,61.11
2,7,3,0,2,97739.28,8582.327972,0.574,0.782,0.114,1.99,0.334,0.438,0.935,0.675,0.604,0.032218431,0.139316883,0.000485418,0.003497878,0.182765932,125240,6361.382716,0.56,0.941,0.036,1.61,0.285,0.285,0.943,0.757,0.758,0.295334021,0.05660954,0,0.020947931,0.022814064,27,0,0,256,6,25,0.0327,0,0,55.56
3,7,4,0,1,55282.92,14213.45691,0.508,0.761,0.018,2.41,0.419,0.373,0.817,0.409,0.623,0.07858545,0.034374768,0.009619288,0.001004814,0.216265574,50967.72,7758.985478,0.496,0.665,0.128,3.04,0.464,0.403,0.714,0.157,0.385,0.158310635,0,0.042814021,0,0.199251334,22,0,0,181,0,10,0.035,0.586,0.522,32.41
3,6,1,0,3,123392.4,3822.397204,0.474,0.807,0.102,1.61,0.349,0.306,0.994,0.886,0.63,0.020557297,0.015782345,0,0.212482125,0.135620619,89846.68,8825.577844,0.457,0.789,0.137,1.58,0.332,0.256,0.98,0.788,0.671,0.005936397,0.003026216,0,0.000671932,0.075842309,22,0,0,51,2,6,0.0036,0.55,0.481,37.96
3,2,6,1,2,114031.64,23355.0019,0.448,0.69,0.292,1.43,0.409,0.334,0.988,0.813,0.608,0.007450802,0.018461665,0,0,0.143650861,194525,10626.1921,0.506,0.808,0.037,2.44,0.409,0.408,0.986,0.877,0.605,0.026239633,0.000461875,0.000111372,0.001689363,0.160288632,5,0.15,0,149,3,17,0.0365,0.142,0.069,54.63
2,12,0,0,1,32984,8103.216806,0.524,0.617,0.121,2.94,0.348,0.359,0.62,0.046,0.485,0.041844659,0.024903598,0.003049215,0,0.158993547,29676.92,6362.141396,0.519,0.7,0.098,3.08,0.165,0.108,0.708,0.089,0.635,0.012748645,0.01724598,0.000418313,0,0.191059115,-2,0,0,1665,18,97,0.1013,0.01,0,61.11
