Month,Day_of_week,Weekend,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index,Per_Reduction
2,1,0,647,6,51,0.0454,0.068,0.021,57.41,-0.819294848
7,3,0,288,8,29,0.0453,0,0,58.33,-0.821368299
7,1,0,77,2,6,0.0098,0.567,0.506,34.26,-0.807478805
11,6,1,781,15,108,0.1029,0,0,61.11,-0.934098343
7,5,0,49,0,6,0.0094,0.565,0.504,34.26,-0.484524448
6,0,0,67,3,8,0.0079,0.549,0.479,37.96,-0.854275796
9,1,0,353,1,25,0.0409,0,0,55.09,-0.833152847
1,4,0,736,12,56,0.0567,0.042,0.013,57.41,-0.71341764
8,0,0,556,3,27,0.0579,0,0,55.09,-0.866758493
3,0,0,78,1,17,0.0964,0,0,40.74,-0.705071345
4,1,0,852,4,66,0.0515,0.345,0.192,51.85,-0.810649347
8,1,0,412,1,26,0.0448,0,0,55.09,-0.866013101
3,5,0,125,2,66,0.1898,0,0,82.41,-0.940310871
12,4,0,1854,32,108,0.112,0,0,61.11,-0.790775717
6,1,0,52,2,4,0.008,0.562,0.499,34.26,-0.781358577
3,2,0,13,0,9,0.125,0,0,13.89,-0.231358761
6,4,0,339,17,42,0.0918,0,0,73.15,-0.882401234
8,0,0,413,2,31,0.0516,0,0,55.09,-0.869666573
1,1,0,1086,12,73,0.0702,0.025,0.008,61.11,-0.867535381
4,5,0,551,8,51,0.0758,0.373,0.222,51.85,-0.52944221
10,6,1,347,1,51,0.0745,0,0,54.63,-0.775914836
6,4,0,339,17,42,0.0918,0,0,73.15,-0.882401234
7,0,0,194,0,13,0.0245,0.576,0.516,34.26,-0.837997897
3,3,0,413,2,136,0.2884,0,0,82.41,-0.97354907
7,6,1,69,2,6,0.0161,0.57,0.51,34.26,-0.734661019
7,0,0,393,5,23,0.0468,0,0,58.33,-0.884605916
9,1,0,381,6,31,0.0353,0,0,55.09,-0.833100354
7,3,0,297,2,28,0.0441,0,0,58.33,-0.808224197
5,1,0,128,3,23,0.0134,0.52,0.436,50,-0.811158523
9,2,0,366,4,33,0.0442,0,0,55.09,-0.805809546
1,2,0,788,12,64,0.0668,0.035,0.012,57.41,-0.846370438
4,6,1,274,11,50,0.0615,0.441,0.309,50,-0.811674372
3,6,1,168,2,73,0.2752,0,0,82.41,-0.982162692
12,1,0,1339,17,90,0.0834,0.008,0,61.11,-0.854118319
5,6,1,326,41,97,0.1472,0,0,82.41,-0.975823463
10,1,0,559,2,42,0.0431,0,0,55.09,-0.834150203
3,4,0,291,5,26,0.0282,0.16,0.084,54.63,-0.667806977
12,1,0,1713,21,74,0.1139,0.012,0,61.11,-0.877115248
6,5,0,62,6,10,0.0158,0.538,0.459,50,-0.479159722
4,3,0,529,7,47,0.0445,0.455,0.335,50,-0.786303363
6,6,1,56,7,16,0.0176,0.538,0.461,50,-0.77797413
10,2,0,1180,6,71,0.0749,0,0,54.63,-0.800156112
5,2,0,169,5,30,0.019,0.522,0.439,50,-0.780471455
1,6,1,392,15,60,0.0777,0.031,0.009,61.11,-0.858842821
12,0,0,1665,18,97,0.1013,0.01,0,61.11,-0.89053231
3,5,0,273,6,30,0.0526,0.235,0.127,54.63,-0.561189625
4,6,1,309,7,53,0.0543,0.408,0.269,51.85,-0.823006858
5,6,1,468,45,137,0.2606,0,0,82.41,-0.981665914
6,0,0,45,3,5,0.0038,0.555,0.49,37.96,-0.835053072
6,5,0,46,4,9,0.0037,0.547,0.476,37.96,-0.472697906
4,5,0,535,39,163,0.2574,0,0,82.41,-0.967711913
12,0,0,1461,21,122,0.0936,0,0,61.11,-0.88111517
11,0,0,3232,14,157,0.1637,0,0,56.02,-0.878212339
4,5,0,632,38,119,0.2679,0,0,82.41,-0.965396998
12,6,1,609,22,74,0.1245,0,0,61.11,-0.898381267
3,6,1,282,20,130,0.3299,0,0,82.41,-0.98674409
10,4,0,668,4,51,0.0631,0,0,51.39,-0.625918027
1,0,0,859,11,81,0.0521,0.046,0.014,57.41,-0.864664046
7,2,0,268,7,24,0.0342,0,0,58.33,-0.827331438
6,3,0,184,14,30,0.0452,0,0,73.15,-0.862207401
4,3,0,437,15,172,0.2757,0,0,82.41,-0.977475503
8,0,0,493,3,28,0.054,0,0,58.33,-0.883524572
9,0,0,420,2,35,0.0426,0,0,55.09,-0.850879537
3,2,0,367,5,125,0.2776,0,0,82.41,-0.976126448
6,0,0,218,9,30,0.0447,0,0,73.15,-0.90590209
4,1,0,666,33,172,0.2695,0,0,82.41,-0.979113267
11,4,0,1253,21,140,0.1207,0,0,61.11,-0.899088574
6,5,0,30,2,5,0.0082,0.554,0.488,37.96,-0.487086078
7,1,0,94,2,9,0.0123,0.572,0.512,34.26,-0.782623645
11,5,0,1571,13,119,0.1872,0,0,56.02,-0.608700513
10,3,0,1307,4,71,0.088,0,0,54.63,-0.760356361
5,1,0,755,23,77,0.1204,0,0,82.41,-0.960320981
3,5,0,404,4,37,0.0648,0.28,0.148,51.85,-0.605010296
4,3,0,1467,36,165,0.3123,0,0,82.41,-0.97244148
5,3,0,399,8,56,0.034,0.472,0.368,50,-0.773264246
5,2,0,277,6,38,0.0274,0.506,0.421,50,-0.783857216
12,2,0,1386,25,90,0.0961,0,0,61.11,-0.844265492
6,1,0,254,23,37,0.0591,0,0,73.15,-0.922290223
5,2,0,169,5,30,0.019,0.522,0.439,50,-0.780471455
10,4,0,954,3,55,0.0838,0,0,54.63,-0.610485256
8,4,0,347,3,26,0.0493,0,0,58.33,-0.711386183
10,6,1,347,1,51,0.0745,0,0,54.63,-0.775914836
5,1,0,891,27,99,0.1521,0,0,82.41,-0.964257912
5,2,0,615,26,65,0.1187,0,0,82.41,-0.958604479
4,2,0,653,7,69,0.0467,0.423,0.29,51.85,-0.798822805
1,1,0,1084,19,63,0.064,0.033,0.011,57.41,-0.863414726
9,5,0,203,3,23,0.0663,0,0,55.09,-0.591997426
7,2,0,138,2,7,0.0174,0.573,0.513,34.26,-0.738524764
9,2,0,391,6,32,0.0397,0,0,55.09,-0.80467571
7,4,0,347,3,26,0.0484,0,0,58.33,-0.71029959
8,5,0,220,5,23,0.0543,0,0,58.33,-0.659633907
8,1,0,384,4,27,0.046,0,0,58.33,-0.867178433
6,2,0,59,4,5,0.0063,0.543,0.469,37.96,-0.778308768
